show_id,type,title,director,cast,country,date_added,release_year,rating,duration,genres,language,description,popularity,vote_count,vote_average
223461,TV Show,Phoenix Rise,,"Orla McDonagh, Lauren Corah, Jayden Hanley, Joshua Cullinane, Krish Bassi",United Kingdom,2023-03-24,2023,7.0,1 Seasons,Drama,en,Six outsiders learn the only way to survive school is by sticking together. But can you ever really leave your past behind?,16.84,1.0,7.0
138169,TV Show,Extrapolations,,,United States of America,2023-03-16,2023,6.032,1 Seasons,Drama,en,"Eight interconnected stories told over 33 years explore how our planet’s changing climate will affect family, work, faith—and survival.",27.005,94.0,6.032
241073,TV Show,Cat-astrophe,,"Mikhail Trukhin, Pavel Derevyanko, Polina Gukhman, Svetlana Listova, Varvara Mayorova",Russia,2023-11-17,2023,0.0,1 Seasons,Comedy,ru,"The Myagkov family is forced to sell their house and move into an old apartment. But it turned out that it already has an owner - a ginger cat who is not at all happy with his new neighbors and does not hide it. Attempts to catch and evict the furry pest fail one after another. The head of the family, Mikhail, is ready to take a decisive step to get rid of the cat, but he accidentally steps on a damaged extension cord, and they receive a powerful electric shock. Having come to his senses, the head of the family acquires the superpower to hear and understand the red-haired prankster. Under new circumstances, the Myagkovs decide to leave the cat in the house, and from that moment on, the life of an ordinary Moscow family changes.",18.176,0.0,0.0
223346,TV Show,Lost in Baimu,Danny Ko,"Zhang Danfeng, Li Chun, Lina Ye, Na Jiawei, Zhang Haocheng",China,2023-03-24,2023,9.0,1 Seasons,"Drama, Sci-Fi & Fantasy, Action & Adventure",zh,,22.962,1.0,9.0
227213,TV Show,Wanru's Journey,Gary Mak Wing-Lun,"Ao Ruipeng, Aaron Deng, Yuanyuan Zong, Si Zheng, Wu Yixun",China,2023-05-26,2023,2.0,1 Seasons,"Drama, Comedy, Action & Adventure",zh,"An adventure begins with a mistaken identity after a nobody pretends to be the illegitimate daughter of the Murong family. Ever since Murong Zhuwan faked her identity to pretend to be from a prominent family, she is pulled into bloody disputes in the pugilistic world. Clueless about matters of the heart, she becomes enamoured by martial arts genius Murong Chong and also meets the gentle Fu Hong, whose love has turned to hate after thinking that he's been betrayed. Their experiences allow them to grow into chivalrous heroes who fight for the people.",19.208,1.0,2.0
228627,TV Show,Do Dil Mil Rahe Hai,Muzammil Desai,,,2023-06-12,2023,7.5,1 Seasons,,hi,"He repels love , she resembles it ! Rishi and Pihu are worlds apart but unaware of the past that connects them . Will fate lead the duo down the road to true love ?",26.192,67.0,7.5
138455,TV Show,Fatal Attraction,,"Lizzy Caplan, Joshua Jackson, Amanda Peet, Alyssa Jirrels, Toby Huss",United States of America,2023-04-30,2023,6.152,1 Seasons,Drama,en,"An affair threatens the lives of Dan Gallagher and his wife, Beth, in this deep-dive reimagining of the classic psychosexual thriller which explores fatal attraction and the timeless themes of marriage and infidelity through the lens of modern attitudes toward strong women, personality disorders and coercive control.",29.807,46.0,6.152
209915,TV Show,Wonderland of Love,Steve Cheng Wai-Man,"Xu Kai, Jing Tian, Zheng Hehuizi, Gao Han, Zhao Jiamin",China,2023-11-06,2023,8.0,1 Seasons,"Drama, War & Politics",zh,"The emperor's grandson Li Ni, guards the border and is forced to take on the responsibility of quelling the rebellion. Although Li Ni is the grandson of the emperor, he was never loved by his father. He hides his identity and is content with being a carefree frontline border general who has no intention of fighting for power. During military campaigns against the rebels, he encounters the ambitious Cui Lin, who is the only daughter of General Cui Yi, the commander of the Cui family army. Cui Lin concealed her true identity and disguised herself as Lieutenant He, fighting alongside the army. They cross paths with each other many times on the battlefields. One is scheming and witty, the other is guileful and forthright. In their competitiveness with each other, from time to time they calculate and predict each other's plan and movement to fight as the winner which leads them down the path of falling in love.",21.926,8.0,8.0
210702,TV Show,Revenant,Lee Jeong-lim,"Kim Tae-ri, Oh Jung-se, Hong Kyung, Park Ji-young, Yang Hye-ji",South Korea,2023-06-23,2023,7.822,1 Seasons,"Mystery, Drama",ko,A woman possessed by an evil spirit and a man who can see evil spirits uncover the secrets of mysterious deaths surrounding five spirits.,25.612,73.0,7.822
211020,TV Show,Han River Police,Kim Sang-chul,"Kwon Sang-woo, Kim Hee-won, Lee Sang-yi, Bae Da-bin, Shin Hyeon-seung",South Korea,2023-09-13,2023,5.789,1 Seasons,"Comedy, Action & Adventure",ko,Han Dujin and his team investigate a criminal conspiracy in order to protect the Han River.,16.738,19.0,5.789
